# Memory Initialization File (200 samples)
# Format: ADDR: DATA (Hex)
000: 0000000000000000
001: 0000000100000001
002: 0000000200000002
003: 0000000300000003
004: 0000000400000004
005: 0000000500000005
006: 0000000600000006
007: 0000000700000007
008: 0000000800000008
009: 0000000900000009
00A: 0000000A0000000A
00B: 0000000B0000000B
00C: 0000000C0000000C
00D: 0000000D0000000D
00E: 0000000E0000000E
00F: 0000000F0000000F
010: 0000001000000010
011: 0000001100000011
012: 0000001200000012
013: 0000001300000013
014: 0000001400000014
015: 0000001500000015
016: 0000001600000016
017: 0000001700000017
018: 0000001800000018
019: 0000001900000019
01A: 0000001A0000001A
01B: 0000001B0000001B
01C: 0000001C0000001C
01D: 0000001D0000001D
01E: 0000001E0000001E
01F: 0000001F0000001F
020: 0000002000000020
021: 0000002100000021
022: 0000002200000022
023: 0000002300000023
024: 0000002400000024
025: 0000002500000025
026: 0000002600000026
027: 0000002700000027
028: 0000002800000028
029: 0000002900000029
02A: 0000002A0000002A
02B: 0000002B0000002B
02C: 0000002C0000002C
02D: 0000002D0000002D
02E: 0000002E0000002E
02F: 0000002F0000002F
030: 0000003000000030
031: 0000003100000031
032: 0000003200000032
033: 0000003300000033
034: 0000003400000034
035: 0000003500000035
036: 0000003600000036
037: 0000003700000037
038: 0000003800000038
039: 0000003900000039
03A: 0000003A0000003A
03B: 0000003B0000003B
03C: 0000003C0000003C
03D: 0000003D0000003D
03E: 0000003E0000003E
03F: 0000003F0000003F
040: 0000004000000040
041: 0000004100000041
042: 0000004200000042
043: 0000004300000043
044: 0000004400000044
045: 0000004500000045
046: 0000004600000046
047: 0000004700000047
048: 0000004800000048
049: 0000004900000049
04A: 0000004A0000004A
04B: 0000004B0000004B
04C: 0000004C0000004C
04D: 0000004D0000004D
04E: 0000004E0000004E
04F: 0000004F0000004F
050: 0000005000000050
051: 0000005100000051
052: 0000005200000052
053: 0000005300000053
054: 0000005400000054
055: 0000005500000055
056: 0000005600000056
057: 0000005700000057
058: 0000005800000058
059: 0000005900000059
05A: 0000005A0000005A
05B: 0000005B0000005B
05C: 0000005C0000005C
05D: 0000005D0000005D
05E: 0000005E0000005E
05F: 0000005F0000005F
060: 0000006000000060
061: 0000006100000061
062: 0000006200000062
063: 0000006300000063
064: 0000006400000064
065: 0000006500000065
066: 0000006600000066
067: 0000006700000067
068: 0000006800000068
069: 0000006900000069
06A: 0000006A0000006A
06B: 0000006B0000006B
06C: 0000006C0000006C
06D: 0000006D0000006D
06E: 0000006E0000006E
06F: 0000006F0000006F
070: 0000007000000070
071: 0000007100000071
072: 0000007200000072
073: 0000007300000073
074: 0000007400000074
075: 0000007500000075
076: 0000007600000076
077: 0000007700000077
078: 0000007800000078
079: 0000007900000079
07A: 0000007A0000007A
07B: 0000007B0000007B
07C: 0000007C0000007C
07D: 0000007D0000007D
07E: 0000007E0000007E
07F: 0000007F0000007F
080: 0000008000000080
081: 0000008100000081
082: 0000008200000082
083: 0000008300000083
084: 0000008400000084
085: 0000008500000085
086: 0000008600000086
087: 0000008700000087
088: 0000008800000088
089: 0000008900000089
08A: 0000008A0000008A
08B: 0000008B0000008B
08C: 0000008C0000008C
08D: 0000008D0000008D
08E: 0000008E0000008E
08F: 0000008F0000008F
090: 0000009000000090
091: 0000009100000091
092: 0000009200000092
093: 0000009300000093
094: 0000009400000094
095: 0000009500000095
096: 0000009600000096
097: 0000009700000097
098: 0000009800000098
099: 0000009900000099
09A: 0000009A0000009A
09B: 0000009B0000009B
09C: 0000009C0000009C
09D: 0000009D0000009D
09E: 0000009E0000009E
09F: 0000009F0000009F
0A0: 000000A0000000A0
0A1: 000000A1000000A1
0A2: 000000A2000000A2
0A3: 000000A3000000A3
0A4: 000000A4000000A4
0A5: 000000A5000000A5
0A6: 000000A6000000A6
0A7: 000000A7000000A7
0A8: 000000A8000000A8
0A9: 000000A9000000A9
0AA: 000000AA000000AA
0AB: 000000AB000000AB
0AC: 000000AC000000AC
0AD: 000000AD000000AD
0AE: 000000AE000000AE
0AF: 000000AF000000AF
0B0: 000000B0000000B0
0B1: 000000B1000000B1
0B2: 000000B2000000B2
0B3: 000000B3000000B3
0B4: 000000B4000000B4
0B5: 000000B5000000B5
0B6: 000000B6000000B6
0B7: 000000B7000000B7
0B8: 000000B8000000B8
0B9: 000000B9000000B9
0BA: 000000BA000000BA
0BB: 000000BB000000BB
0BC: 000000BC000000BC
0BD: 000000BD000000BD
0BE: 000000BE000000BE
0BF: 000000BF000000BF
0C0: 000000C0000000C0
0C1: 000000C1000000C1
0C2: 000000C2000000C2
0C3: 000000C3000000C3
0C4: 000000C4000000C4
0C5: 000000C5000000C5
0C6: 000000C6000000C6
0C7: 000000C7000000C7
