Timestamp,Real,Imaginary
2078 ns,6.65823e+07,6.70016e+07
2079 ns,455651,-144049
2080 ns,-179179,123875
2081 ns,-163831,1.81696e+06
2082 ns,1.47163e+06,1.28577e+06
2083 ns,243163,-216026
2084 ns,-225962,-21511
2085 ns,-780674,-711653
2086 ns,-43848,203322
2087 ns,519754,718851
2088 ns,337542,1.43757e+06
2089 ns,-2817,182726
2090 ns,-564404,1.08161e+06
2091 ns,1.45992e+06,-108610
2092 ns,1.81192e+06,458789
2093 ns,-364417,573519
2094 ns,1.71212e+06,-1.266e+06
2095 ns,1.19521e+06,586657
2096 ns,843883,-244692
2097 ns,486626,370267
2098 ns,-163070,181331
2099 ns,-441231,1.09444e+06
2100 ns,-116855,-1.59543e+06
2101 ns,-1.36804e+06,-134778
2102 ns,-1.39339e+06,-85684
2103 ns,-125925,-663368
2104 ns,-1.06919e+06,1.42404e+06
2105 ns,-1.07602e+06,97500
2106 ns,-244405,2.29598e+06
2107 ns,885580,199406
2108 ns,664388,-358253
2109 ns,-424637,1.48597e+06
2110 ns,-1.42724e+06,723354
2111 ns,259093,-573264
2112 ns,-544876,-870403
2113 ns,-158922,-428940
2114 ns,896270,-476057
2115 ns,-506503,644012
2116 ns,570072,-707801
2117 ns,408074,-1.86203e+06
2118 ns,24312,-1.33281e+06
2119 ns,195418,-458555
2120 ns,-1.2299e+06,1.23449e+06
2121 ns,309443,864272
2122 ns,-109158,-28001
2123 ns,893840,89412
2124 ns,1.1483e+06,2.54489e+06
2125 ns,-1.72888e+06,322072
2126 ns,873107,-328128
2127 ns,1.81542e+06,42695
2128 ns,125088,-1.67682e+06
2129 ns,-1.44473e+06,-833831
2130 ns,-2211,-511836
2131 ns,306577,913121
2132 ns,-570236,1.36377e+06
2133 ns,-258110,418239
2134 ns,-278776,203482
2135 ns,-931189,422826
2136 ns,-1.05022e+06,269017
2137 ns,378412,-1.81826e+06
2138 ns,480158,-89027
2139 ns,-357255,279775
2140 ns,701436,209808
2141 ns,-292032,444251
2142 ns,255260,-384808
2143 ns,310000,73869
2144 ns,1.01316e+06,1.3878e+06
2145 ns,1.23539e+06,1.62994e+06
2146 ns,240824,-527547
2147 ns,273318,-381712
2148 ns,597491,-733318
2149 ns,821063,1.25286e+06
2150 ns,-2.26874e+06,-1.04022e+06
2151 ns,375192,-295370
2152 ns,381658,-1.18593e+06
2153 ns,-488326,1.07487e+06
2154 ns,-233468,-1.71162e+06
2155 ns,-660300,18385
2156 ns,391262,785365
2157 ns,-124880,16095
2158 ns,-128967,-560261
2159 ns,-19513,-340697
2160 ns,1.55228e+06,-627160
2161 ns,-3418,400667
2162 ns,938721,-11081
2163 ns,-468703,-2.44731e+06
2164 ns,-764397,659272
2165 ns,128980,963547
2166 ns,1.16554e+06,-268882
2167 ns,323616,1.14527e+06
2168 ns,309420,1.94633e+06
2169 ns,-976450,618996
2170 ns,205229,-202606
2171 ns,-1.74601e+06,343763
2172 ns,731843,-778528
2173 ns,201880,-170051
2174 ns,-1.31422e+06,766617
2175 ns,-507441,-1.00965e+06
2176 ns,1.69993e+06,2.39102e+06
2177 ns,-385118,-684139
2178 ns,689304,379400
2179 ns,-650671,1.24244e+06
2180 ns,-91459,-266191
2181 ns,-1.05791e+06,573627
2182 ns,362748,-586411
2183 ns,-1.19698e+06,57669
